index,fold
1065,1
839,1
1069,1
1617,1
242,1
1235,1
1015,1
1492,1
52,1
1623,1
48,1
913,1
447,1
1414,1
910,1
18,1
860,1
747,1
221,1
1147,1
108,1
1350,1
963,1
826,1
1161,1
442,1
340,1
1332,1
1491,1
220,1
1221,1
1715,1
779,1
1787,1
792,1
817,1
130,1
1354,1
271,1
388,1
1260,1
411,1
1581,1
688,1
736,1
190,1
54,1
1755,1
1081,1
261,1
1019,1
103,1
391,1
183,1
622,1
161,1
1325,1
526,1
1036,1
744,1
1602,1
1330,1
346,1
1420,1
1173,1
1495,1
100,1
629,1
946,1
289,1
752,1
1187,1
1150,1
404,1
600,1
1087,1
978,1
1759,1
791,1
936,1
1748,1
816,1
1364,1
706,1
1501,1
361,1
268,1
1157,1
996,1
1719,1
1098,1
128,1
36,1
357,1
1056,1
1154,1
834,1
1270,1
1583,1
704,1
1009,1
351,1
1603,1
920,1
1486,1
45,1
181,1
1213,1
359,1
1231,1
1286,1
1345,1
1119,1
514,1
275,1
894,1
631,1
1232,1
1443,1
105,1
1589,1
1677,1
849,1
1186,1
146,1
347,1
1022,1
1184,1
787,1
1551,1
1007,1
770,1
1340,1
1515,1
422,1
1615,1
575,1
345,1
638,1
677,1
1577,1
1516,1
314,1
1572,1
847,1
301,1
1205,1
349,1
1675,1
1248,1
1702,1
136,1
67,1
1652,1
505,1
117,1
573,1
1544,1
667,1
555,1
1082,1
1596,1
758,1
528,1
449,1
862,1
666,1
922,1
163,1
521,1
606,1
652,1
1229,1
981,1
467,1
767,1
1695,1
619,1
993,1
462,1
1327,1
1704,1
1644,1
813,1
1739,1
59,1
1600,1
960,1
1626,1
684,1
755,1
830,1
43,1
1402,1
649,1
1624,1
305,1
476,1
1628,1
490,1
20,1
687,1
832,1
1290,1
553,1
496,1
682,1
590,1
1423,1
1199,1
1301,1
774,1
1530,1
1405,1
1569,1
84,1
406,1
903,1
151,1
91,1
188,1
1712,1
334,1
1381,1
916,1
654,1
1666,1
536,1
891,1
1120,1
1645,1
1403,1
1294,1
1557,1
1066,1
659,1
743,1
1002,1
35,1
1200,1
1575,1
530,1
1219,1
1612,1
804,1
1631,1
1471,1
1320,1
571,1
106,2
735,2
1639,2
681,2
1753,2
778,2
367,2
966,2
784,2
576,2
1647,2
1306,2
570,2
1696,2
942,2
914,2
680,2
47,2
98,2
1517,2
1043,2
984,2
1456,2
425,2
1518,2
1324,2
1355,2
673,2
1545,2
1413,2
1114,2
512,2
439,2
1012,2
1435,2
1606,2
1598,2
753,2
637,2
656,2
1597,2
880,2
1321,2
618,2
1389,2
118,2
1742,2
873,2
983,2
1415,2
1472,2
579,2
646,2
17,2
670,2
841,2
1234,2
134,2
674,2
288,2
1707,2
1326,2
1000,2
533,2
1254,2
1425,2
1622,2
558,2
1490,2
1734,2
1790,2
1548,2
254,2
1765,2
1293,2
1392,2
40,2
502,2
1713,2
247,2
437,2
898,2
842,2
961,2
386,2
1466,2
95,2
158,2
1661,2
472,2
430,2
660,2
560,2
1236,2
1538,2
1352,2
1605,2
970,2
1422,2
1618,2
1379,2
260,2
771,2
1525,2
868,2
421,2
96,2
944,2
302,2
1769,2
79,2
109,2
1514,2
1760,2
1111,2
226,2
972,2
1474,2
356,2
23,2
1034,2
110,2
1419,2
634,2
793,2
562,2
556,2
1322,2
350,2
1476,2
924,2
212,2
1582,2
1356,2
598,2
152,2
1393,2
1564,2
1191,2
928,2
1107,2
799,2
1738,2
655,2
958,2
630,2
1250,2
1710,2
751,2
550,2
1708,2
730,2
1011,2
1524,2
216,2
1788,2
1162,2
1453,2
617,2
1780,2
1086,2
487,2
950,2
1253,2
303,2
1097,2
1037,2
1149,2
284,2
1192,2
760,2
1611,2
1706,2
132,2
257,2
401,2
1684,2
493,2
1318,2
722,2
205,2
1566,2
1660,2
1094,2
531,2
1110,2
259,2
193,2
1795,2
1040,2
327,2
973,2
434,2
708,2
64,2
1653,2
1010,2
1368,2
577,2
947,2
465,2
1723,2
157,2
312,2
1451,2
51,2
1552,2
144,2
1201,2
648,2
225,2
1751,2
1217,2
877,2
175,2
1434,2
962,2
1469,2
300,2
1431,2
1635,2
172,2
742,2
423,2
1460,2
605,2
435,2
295,2
1198,2
475,2
1522,2
1202,2
676,2
527,2
831,2
1729,2
448,2
1050,2
1688,2
141,2
1565,2
864,2
362,2
625,2
1035,2
426,2
396,2
1269,2
809,2
789,2
1539,2
1168,2
1249,2
469,2
415,2
204,2
500,2
1017,2
1496,2
888,2
292,2
861,2
1060,2
215,2
740,2
424,2
700,2
711,2
1665,2
1274,2
769,2
786,2
1776,2
1587,2
1384,2
1348,2
1629,2
591,2
1033,2
446,2
384,2
1473,2
366,2
438,2
263,2
1,2
705,2
1528,2
565,3
607,3
1329,3
373,3
456,3
945,3
890,3
568,3
370,3
1256,3
1692,3
1001,3
1176,3
258,3
1222,3
1664,3
1151,3
1089,3
1377,3
420,3
1650,3
741,3
1357,3
819,3
1016,3
908,3
551,3
725,3
77,3
709,3
56,3
1764,3
726,3
1255,3
583,3
745,3
1662,3
609,3
547,3
217,3
1441,3
1125,3
282,3
886,3
926,3
497,3
69,3
1028,3
714,3
850,3
53,3
934,3
233,3
13,3
371,3
1450,3
1158,3
78,3
1285,3
1169,3
1291,3
1141,3
1252,3
1678,3
1673,3
1792,3
223,3
965,3
107,3
1547,3
1468,3
1383,3
1743,3
1616,3
1436,3
1667,3
1527,3
1328,3
1430,3
878,3
1346,3
1376,3
1170,3
1272,3
1382,3
1424,3
1505,3
339,3
1726,3
1457,3
1724,3
508,3
482,3
1560,3
664,3
581,3
810,3
593,3
1258,3
1632,3
901,3
1411,3
851,3
773,3
1568,3
1731,3
1663,3
1138,3
1561,3
1409,3
1467,3
1372,3
1685,3
1613,3
1529,3
989,3
865,3
506,3
987,3
1363,3
564,3
1299,3
846,3
308,3
1682,3
1797,3
657,3
470,3
651,3
298,3
1619,3
990,3
1108,3
1609,3
748,3
613,3
1310,3
1070,3
1226,3
1555,3
1220,3
1025,3
1679,3
997,3
1796,3
1427,3
1072,3
1006,3
1655,3
364,3
764,3
459,3
746,3
798,3
539,3
820,3
542,3
892,3
821,3
186,3
776,3
775,3
1449,3
1637,3
1041,3
1463,3
1281,3
1353,3
1499,3
653,3
803,3
400,3
1315,3
1145,3
1540,3
1601,3
376,3
369,3
126,3
1195,3
6,3
461,3
125,3
1733,3
311,3
245,3
800,3
1116,3
1153,3
494,3
1238,3
310,3
523,3
1761,3
86,3
1621,3
852,3
1741,3
604,3
720,3
131,3
732,3
1705,3
1433,3
236,3
75,3
1367,3
372,3
1208,3
1752,3
353,3
1278,3
510,3
441,3
338,3
318,3
863,3
219,3
427,3
224,3
202,3
429,3
824,3
1762,3
38,3
491,3
145,3
1488,3
822,3
1400,3
1627,3
785,3
955,3
543,3
1302,3
693,3
168,3
717,3
1512,3
468,3
255,3
1380,3
636,3
1054,3
1101,3
1316,3
691,3
1004,3
1245,3
1498,3
1770,3
1264,3
436,3
675,3
489,3
909,3
452,3
2,3
485,3
272,3
686,3
665,3
1058,3
1489,3
1447,3
597,3
1160,3
1266,3
1404,3
1075,3
777,3
1633,3
287,3
1027,3
431,3
466,3
968,3
1140,3
73,3
71,3
1730,3
142,3
1520,3
1309,3
783,3
99,3
797,3
279,3
882,4
1172,4
316,4
398,4
1718,4
1554,4
336,4
83,4
1531,4
474,4
610,4
214,4
1129,4
1005,4
162,4
1297,4
828,4
1369,4
1737,4
352,4
286,4
1508,4
1416,4
1090,4
1020,4
603,4
1567,4
1280,4
123,4
1124,4
189,4
444,4
337,4
213,4
614,4
754,4
1137,4
1375,4
392,4
380,4
1189,4
662,4
1100,4
1654,4
27,4
238,4
1211,4
1550,4
1480,4
524,4
1218,4
1179,4
1046,4
567,4
1732,4
1021,4
1398,4
854,4
503,4
395,4
647,4
1155,4
397,4
1136,4
582,4
1426,4
178,4
699,4
911,4
643,4
992,4
519,4
518,4
1494,4
1778,4
12,4
1543,4
1133,4
114,4
374,4
669,4
1432,4
87,4
139,4
1225,4
559,4
192,4
101,4
1640,4
1159,4
113,4
668,4
1241,4
1783,4
1204,4
805,4
1029,4
621,4
991,4
111,4
1032,4
1728,4
848,4
1152,4
33,4
1614,4
829,4
1358,4
1477,4
893,4
511,4
218,4
10,4
1478,4
49,4
844,4
608,4
1251,4
4,4
283,4
320,4
94,4
948,4
387,4
1051,4
661,4
1779,4
201,4
548,4
1224,4
538,4
596,4
1013,4
307,4
1459,4
833,4
329,4
326,4
484,4
1275,4
115,4
306,4
1014,4
276,4
328,4
1347,4
859,4
837,4
623,4
1289,4
1388,4
1104,4
147,4
1303,4
589,4
516,4
333,4
1503,4
1406,4
488,4
1008,4
393,4
959,4
807,4
572,4
815,4
1132,4
874,4
325,4
165,4
102,4
408,4
1239,4
1373,4
1465,4
883,4
60,4
1308,4
402,4
1339,4
251,4
1048,4
1519,4
234,4
1216,4
1791,4
988,4
1694,4
378,4
1482,4
540,4
92,4
1304,4
641,4
1747,4
265,4
1182,4
765,4
1071,4
241,4
1257,4
1642,4
768,4
554,4
1438,4
845,4
1312,4
1174,4
1594,4
881,4
541,4
986,4
159,4
1485,4
89,4
1766,4
1794,4
319,4
256,4
1470,4
827,4
818,4
794,4
1131,4
1562,4
1659,4
1061,4
952,4
166,4
1656,4
1361,4
995,4
30,4
1343,4
1593,4
639,4
1088,4
1164,4
1319,4
853,4
1775,4
1085,4
1277,4
671,4
897,4
249,4
925,4
763,4
545,4
440,4
1763,4
875,4
658,4
941,4
22,4
1445,4
31,4
239,4
879,4
954,4
410,4
15,4
695,4
513,4
149,4
534,4
19,4
578,4
733,4
588,4
602,4
1689,4
278,4
399,4
611,4
998,4
46,4
394,4
780,4
1727,4
1412,4
949,4
808,4
569,4
1143,4
1610,4
383,4
1717,4
